,,,,,,,,
CONSEJO NACIONAL DE FIJACIÓN Y REVISIÓN DE PRECIOS DE MEDICAMENTOS DE USO Y CONSUMO HUMANO ,,,,,,,,
CONSOLIDADO DE PRECIOS TECHO ACTUALIZADO,,,,,,,,
,,,,,,,,
Resolución,Item,Sesión de Consejo,Principio Activo,Primer Nivel de Desagregación,Forma Farmacéutica,Concentración ,Presentación Comercial , Precio Techo (USD )  
Resolución 10 (Anexo A),65,,ÁCIDO IBANDRÓNICO,SÓLIDO ORAL,SOR-01,150 mg ,-,$27.8300
Resolución 10 (Anexo A),66,,ÁCIDO IBANDRÓNICO,SÓLIDO ORAL,CÁPSULA BLANDA,150 mg ,-,$11.4600
Resolución 10 (Anexo A),67,,ÁCIDO IBANDRÓNICO,SÓLIDO ORAL,SOR-01,50 mg,-,$14.9300
Resolución 10 (Anexo A),62,,ÁCIDO IBANDRÓNICO,LÍQUIDO PARENTERAL,LPA-02,1 mg/ml,-,$28.2100
Resolución 10 (Anexo A),73,,ÁCIDO TRANEXÁMICO,LÍQUIDO PARENTERAL,LPA-02,100 mg/mL,-,$0.7860
Resolución 10 (Anexo A),75,,ÁCIDO TRANEXÁMICO,SÓLIDO ORAL,SOR-01,500 mg,-,$1.1800
Resolución 10 (Anexo A),76,,ÁCIDO TRANEXÁMICO,SÓLIDO ORAL,SOR-01,250 mg,-,$0.8100
Resolución 10 (Anexo A),74,,ÁCIDO TRANEXÁMICO,LÍQUIDO PARENTERAL,LPA-02,50 mg/mL,-,$0.9440
STFP-001-777-2026,,777,ÁCIDO URSODESOXICÓLICO,SÓLIDO ORAL,SOR-01,250 mg,-,$0.9004
Resolución 10 (Anexo A),77,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-01,250 mg,-,$0.4800
Resolución 10 (Anexo A),78,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-02,250 mg,-,$0.5100
Resolución 10 (Anexo A),80,,ÁCIDO VALPROICO (SAL SÓDICA),LÍQUIDO ORAL,LOR-01,200 mg/ml,-,$0.3863
Resolución 10 (Anexo A),81,,ÁCIDO VALPROICO (SAL SÓDICA),LÍQUIDO ORAL,LOR-01,250 mg/5 ml,-,$0.4035
Resolución 10 (Anexo A),82,,ÁCIDO VALPROICO (SAL SÓDICA),LÍQUIDO ORAL,LOR-01,375 mg/ml,-,$0.3670
Resolución 10 (Anexo A),84,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-01,200 mg,-,$0.1800
Resolución 10 (Anexo A),85,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-02,200 mg,-,$0.3700
Resolución 10 (Anexo A),86,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-01,250 mg,-,$0.4400
Resolución 10 (Anexo A),87,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-02,250 mg,-,$0.5100
Resolución 10 (Anexo A),88,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-01,400 mg,-,$0.5600
Resolución 10 (Anexo A),89,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-01,500 mg,-,$0.6900
Resolución 10 (Anexo A),90,,ÁCIDO VALPROICO (SAL SÓDICA),SÓLIDO ORAL,SOR-02,500 mg,-,$0.9700
Resolución 10 (Anexo A),83,,ÁCIDO VALPROICO (SAL SÓDICA),LÍQUIDO PARENTERAL,LPA-02,500 mg,-,$18.8200
Resolución 10 (Anexo A),91,,ÁCIDO ZOLENDRONICO,SÓLIDO PARENTERAL,SPA-04,4 mg,-,$180.2850
Resolución 10 (Anexo A),92,,ÁCIDO ZOLENDRONICO,LÍQUIDO PARENTERAL,LPA-02,"0,8 mg/ml",-,$37.5930
STFP-005-719-2022,,719,ACTIVIDAD DEL DESVÍO DEL INHIBIDOR DEL FACTOR VIII,SÓLIDO PARENTERAL,SPA-04,500 UI,-,$668.2057
Resolución 10 (Anexo A),95,,ADALIMUMAB,LÍQUIDO PARENTERAL,LPA-02,40 mg,-,$866.5200
Resolución 10 (Anexo A),96,,ADAPALENO,SEMISÓLIDO CUTÁNEO,SSC-01,0.10%,15 g,$6.1200
Resolución 10 (Anexo A),97,,ADAPALENO,SEMISÓLIDO CUTÁNEO,SSC-01,0.10%,30 g,$18.8400
Resolución 10 (Anexo A),99,,ADEFOVIR,SÓLIDO ORAL,SOR-01,10 mg,-,$15.8900
Resolución 10 (Anexo A),100,,ADENOSINA,LÍQUIDO PARENTERAL,LPA-02,3 mg/ mL,-,$10.0000
Medicamentos nuevos Consolidados,1,639,AFATINIB,SÓLIDO ORAL,SOR-01,20 mg,-,$110.8900
Medicamentos nuevos Consolidados,2,639,AFATINIB,SÓLIDO ORAL,SOR-01,30 mg,-,$110.8900
Medicamentos nuevos Consolidados,3,639,AFATINIB,SÓLIDO ORAL,SOR-01,40 mg,-,$110.8900
Medicamentos nuevos Consolidados,4,639,AFATINIB,SÓLIDO ORAL,SOR-01,50 mg ,-,$110.8900
Resolución 10 (Anexo A),101,,AFLIBERCEPT,LÍQUIDO PARENTERAL,LPA-02,40 mg/mL,-,"$1,551.2100"
Medicamentos nuevos Consolidados,5,641,AGALSIDASA BETA ,SÓLIDO PARENTERAL,SPA-04,35 mg, -,"$5,033.0700"
Resolución 10 (Anexo A),102,,AGENTES GELATINAS (GELATINA SUCCINILADA),LÍQUIDO PARENTERAL,LPA-02,4%,-,$0.0309
Resolución 10 (Anexo A),103,,AGENTES GELATINAS (POLIGELINA),LÍQUIDO PARENTERAL,LPA-02,3.50%,-,$0.0289
Resolución 10 (Anexo A),109,,ALBENDAZOL,SÓLIDO ORAL,SOR-03,400 mg,-,$0.4000
Resolución 10 (Anexo A),106,,ALBENDAZOL,LÍQUIDO ORAL,SUSPENSIÓN,20 mg/ml,-,$0.0940
Resolución 10 (Anexo A),113,,ALBUMINA,LÍQUIDO PARENTERAL,LPA-02,25%,-,$1.9742
Resolución 10 (Anexo A),112,,ALBUMINA,LÍQUIDO PARENTERAL,LPA-02,20%,100 ml,$250.6300
Resolución 10 (Anexo A),111,,ALBUMINA,LÍQUIDO PARENTERAL,LPA-02,20%,50 ml,$96.7100
STFP-001-770-2025,,770,ALCOHOL (SOLO O COMBINADO),SEMISÓLIDO CUTÁNEO,SSC-01,≥ 70% Alcohol ,-,$0.0196
STFP-004-755-2024,,755,ALCOHOL ETÍLICO,LÍQUIDO CUTÁNEO,LCU-01,70° GL,≤100 ml,$0.0120
STFP-004-755-2024,,755,ALCOHOL ETÍLICO,LÍQUIDO CUTÁNEO,LCU-01,70° GL,>100 ml - ≤250 ml,$0.0087
STFP-004-755-2024,,755,ALCOHOL ETÍLICO,LÍQUIDO CUTÁNEO,LCU-01,70° GL,>250 ml - ≤500 ml,$0.0057
STFP-004-755-2024,,755,ALCOHOL ETÍLICO,LÍQUIDO CUTÁNEO,LCU-01,70° GL,>500 ml - ≤1000 ml,$0.0042
STFP-004-755-2024,,755,ALCOHOL ETÍLICO,LÍQUIDO CUTÁNEO,LCU-01,70° GL,>1000 ml,$0.0034
STFP-012-761-2025,,761,ALCOHOL YODADO (TINTURA DE YODO),LÍQUIDO CUTÁNEO,LCU-01,2%,≤ 30 mL,$0.0530
STFP-012-761-2025,,761,ALCOHOL YODADO (TINTURA DE YODO),LÍQUIDO CUTÁNEO,LCU-01,2%,> 30 mL - ≤ 60 mL,$0.0330
STFP-012-761-2025,,761,ALCOHOL YODADO (TINTURA DE YODO),LÍQUIDO CUTÁNEO,LCU-01,2%,> 60 mL - ≤ 100 mL,$0.0257
STFP-012-761-2025,,761,ALCOHOL YODADO (TINTURA DE YODO),LÍQUIDO CUTÁNEO,LCU-01,2%,> 100 mL - ≤ 500 mL,$0.0196
STFP-012-761-2025,,761,ALCOHOL YODADO (TINTURA DE YODO),LÍQUIDO CUTÁNEO,LCU-01,2%,> 500 mL - ≤ 1000 mL,$0.0194
STFP-012-761-2025,,761,ALCOHOL YODADO (TINTURA DE YODO),LÍQUIDO CUTÁNEO,LCU-01,2%,> 1000 mL,$0.0140
STFP-004-698-2021,,698,ALECTINIB,SÓLIDO ORAL,SOR-01,150 mg,-,$18.7055
STFP-002-707-2021,,707,ALEMTUZUMAB,LÍQUIDO PARENTERAL,LPA-02,"12 mg/1,2 ml",-,"$8,983.9486"
Resolución 10 (Anexo A),115,,ALFUZOSINA,SÓLIDO ORAL,SOR-02,10 mg,-,$1.3300
Medicamentos nuevos Consolidados,6,639,ALGLUCOSIDASA ALFA,SÓLIDO PARENTERAL,SPA-04,50 mg , -,$826.8300
Medicamentos nuevos Consolidados,7,641,ALOGLIPTINA,SÓLIDO ORAL,SOR-01,25 mg ,-,$1.8200
Medicamentos nuevos Consolidados,8,641,ALOGLIPTINA + METFORMINA,SÓLIDO ORAL,SOR-01,12.5 mg + 1000 mg,-,$0.8100
Medicamentos nuevos Consolidados,9,641,ALOGLIPTINA + METFORMINA,SÓLIDO ORAL,SOR-01,12.5 mg + 500 mg,-,$0.7400
Medicamentos nuevos Consolidados,10,641,ALOGLIPTINA + PIOGLITAZONA ,SÓLIDO ORAL,SOR-01,25 mg +15 mg,-,$1.8200
Resolución 10 (Anexo A),116,,ALOPURINOL,SÓLIDO ORAL,SOR-01,100 mg,-,$0.0600
Resolución 10 (Anexo A),117,,ALOPURINOL,SÓLIDO ORAL,SOR-01,300 mg,-,$0.1000
Resolución 10 (Anexo A),118,,ALPRAZOLAM,SÓLIDO ORAL,SOR-01,"0,5 mg",-,$0.3700
Resolución 10 (Anexo A),120,,ALPRAZOLAM,SÓLIDO ORAL,SOR-01,"0,25 mg",-,$0.3100
Resolución 10 (Anexo A),123,,ALPROSTADIL,LÍQUIDO PARENTERAL,LPA-02,"0,5 mg (500 mcg/ml)",-,$252.6200
Resolución 10 (Anexo A),124,,ALPROSTADIL,LÍQUIDO PARENTERAL,LPA-02,20 mcg/mL,-,$154.5100
Resolución 10 (Anexo A),125,,ALTEPLASA,SÓLIDO PARENTERAL,SPA-04,50 mg,-,$746.8200
Resolución 10 (Anexo A),126,,AMANTADINA,SÓLIDO ORAL,SOR-01,100 mg,-,$0.3700
Medicamentos nuevos Consolidados,11,655,AMBRISENTAN,SÓLIDO ORAL,SOR-01,5 mg,-,$75.0000
Medicamentos nuevos Consolidados,12,655,AMBRISENTAN,SÓLIDO ORAL,SOR-01,10 mg,-,$117.1700
STFP-014-683-2018,,683,AMBROXOL + CLENBUTEROL,LÍQUIDO ORAL,LOR-01,"(7,5 mg + 0,005 mg) / 5 ml", -,$0.0658
Resolución 16-2017,36,673,AMBROXOL + SALBUTAMOL,LÍQUIDO ORAL,LOR-01,"(7,5 mg +  2 mg)/5ml", -,$0.2990
Resolución 10 (Anexo A),139,,AMFOTERICINA B,SÓLIDO PARENTERAL,SPA-04,50 mg,-,$18.1700
Resolución 10 (Anexo A),141,,AMIFOSTINA,SÓLIDO PARENTERAL,SPA-04,500 mg,-,$381.1100
Resolución 10 (Anexo A),143,,AMIKACINA,LÍQUIDO PARENTERAL,LPA-02,250 mg/mL,-,$3.7100
Resolución 10 (Anexo A),149,,AMIKACINA,LÍQUIDO PARENTERAL,LPA-02,"1,25 g",-,$4.1800
Resolución 10 (Anexo A),150,,AMIKACINA,LÍQUIDO PARENTERAL,LPA-02,50 mg/mL,-,$0.5500
Resolución 10 (Anexo A),144,,AMIKACINA,LÍQUIDO PARENTERAL,LPA-02,250 mg ,JERINGA PRELLENADA,$5.4200
Resolución 10 (Anexo A),146,,AMIKACINA,LÍQUIDO PARENTERAL,LPA-02,500 mg,JERINGA PRELLENADA,$5.7500
Resolución 10 (Anexo A),148,,AMIKACINA,LÍQUIDO PARENTERAL,LPA-02,1 g,JERINGA PRELLENADA,$12.1800
Resolución 10 (Anexo A),151,,AMINOÁCIDOS,LÍQUIDO PARENTERAL,LPA-02,10%,100 ml,$29.4700
Resolución 10 (Anexo A),152,,AMINOÁCIDOS,LÍQUIDO PARENTERAL,LPA-02,10%,250 ml,$21.3900
Resolución 10 (Anexo A),153,,AMINOÁCIDOS,LÍQUIDO PARENTERAL,LPA-02,10%,500 ml,$33.3900
Resolución 10 (Anexo A),154,,AMINOÁCIDOS,LÍQUIDO PARENTERAL,LPA-02,15%,500 ml,$19.5400
Resolución 10 (Anexo A),157,,AMINOFILINA,LÍQUIDO PARENTERAL,LPA-02,25 mg/mL,-,$0.0530
Resolución 10 (Anexo A),158,,AMINOSALICILATO DE SODIO,SÓLIDO ORAL,SOR-06,800 mg,-,$35.1700
Resolución 10 (Anexo A),160,,AMIODARONA,SÓLIDO ORAL,SOR-01,200 mg,-,$0.4700
Resolución 10 (Anexo A),159,,AMIODARONA,LÍQUIDO PARENTERAL,LPA-02,50 mg/mL,-,$0.8200
Resolución 10 (Anexo A),161,,AMITRIPTILINA,SÓLIDO ORAL,SOR-01,25 mg,-,$0.0900
Resolución 10 (Anexo A),163,,AMLODIPINA,SÓLIDO ORAL,SOR-01,10 mg,-,$0.3100
Resolución 10 (Anexo A),164,,AMLODIPINA,SÓLIDO ORAL,SOR-01,5 mg ,-,$0.3600
Resolución 10 (Anexo A),165,,AMLODIPINA + BENAZEPRIL,SÓLIDO ORAL,SOR-01,"2,5 mg + 10 mg",-,$0.4900
Resolución 10 (Anexo A),166,,AMLODIPINA + BENAZEPRIL,SÓLIDO ORAL,SOR-01,20 mg + 5 mg,-,$0.9900
Resolución 10 (Anexo A),167,,AMLODIPINA + BENAZEPRIL,SÓLIDO ORAL,SOR-01,5 mg + 10 mg,-,$0.8400
Resolución 10 (Anexo A),168,,AMLODIPINA + ENALAPRIL,SÓLIDO ORAL,SOR-01,"2,5 mg + 10 mg",-,$1.2400
Resolución 10 (Anexo A),169,,AMLODIPINA + ENALAPRIL,SÓLIDO ORAL,SOR-01,20 mg + 5 mg,-,$1.2400
Resolución 10 (Anexo A),170,,AMLODIPINA + LOSARTÁN,SÓLIDO ORAL,SOR-01,50 mg + 5 mg,-,$1.2500
Resolución 10 (Anexo A),171,,AMLODIPINA + LOSARTÁN,SÓLIDO ORAL,SOR-01,5 mg + 100 mg,-,$1.4600
Resolución 10 (Anexo A),172,,AMLODIPINA + LOSARTÁN,SÓLIDO ORAL,SOR-01,"2,5 mg + 50 mg",-,$1.0700
Resolución 10 (Anexo A),174,,AMLODIPINA + TELMISARTÁN,SÓLIDO ORAL,SOR-01,5 mg + 80 mg,-,$2.2100
Resolución 10 (Anexo A),175,,AMLODIPINA + VALSARTÁN,SÓLIDO ORAL,SOR-01,5 mg + 80 mg,-,$1.2300
Resolución 10 (Anexo A),176,,AMLODIPINA + VALSARTÁN,SÓLIDO ORAL,SOR-01,10 mg + 160 mg,-,$1.4300
Resolución 10 (Anexo A),177,,AMLODIPINA + VALSARTÁN,SÓLIDO ORAL,SOR-01, 5 mg + 160 mg,-,$1.4300
Resolución 10 (Anexo A),178,,AMLODIPINA + VALSARTÁN + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,5 mg + 160 mg + 25 mg,-,$1.7600
Resolución 10 (Anexo A),179,,AMLODIPINA + VALSARTÁN + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,"5 mg + 160 mg + 12,5 mg",-,$1.5200
Resolución 10 (Anexo A),180,,AMLODIPINA + VALSARTÁN + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,"10 mg + 160 mg + 12,5 mg",-,$1.5200
STFP-003-749-2024,,749,AMLODIPINA + VALSARTÁN + HIDROCLOROTIAZIDA,SÓLIDO ORAL,SOR-01,10 mg + 320 mg + 25 mg,-,$1.2247
STFP-003-778-2026,,778,AMLODIPINA + VALSARTÁN + HIDROCLOROTIAZIDA ,SÓLIDO ORAL,SOR-01,10 mg + 160 mg + 25 mg,-,$1.4510
STFP-01-693-2020,,693,"AMLODIPINO +  CANDESARTÁN + 
HIDROCLOROTIAZIDA", SÓLIDO ORAL , SOR-01 ," 5 mg + 16 mg + 12,5 mg ", - ,$1.4500
STFP-004-739-2024,,739,AMLODIPINO + CANDESARTÁN,SÓLIDO ORAL,SOR-01,10 mg + 16 mg,-,$1.1500
Resolución 10 (Anexo A),181,,AMOXICILINA,SÓLIDO ORAL,SOR-01,500 mg,-,$0.2300
Resolución 10 (Anexo A),184,,AMOXICILINA,SÓLIDO ORAL,SOR-06,100 mg/ml,-,$0.1875
Resolución 10 (Anexo A),188,,AMOXICILINA,SÓLIDO ORAL,SOR-06,250 mg/5 ml,-,$0.1865
Resolución 10 (Anexo A),193,,AMOXICILINA,SÓLIDO ORAL,SOR-06,500 mg/5 ml,-,$0.3915
Resolución 10 (Anexo A),204,,AMOXICILINA + ÁCIDO CLAVULANICO,SÓLIDO ORAL,SOR-06,"125 mg + 31,25 mg/5ml",-,$0.3060
Resolución 10 (Anexo A),207,,AMOXICILINA + ÁCIDO CLAVULANICO,SÓLIDO ORAL,SOR-06,"250 mg + 62,5 mg/5 ml",-,$0.5950
Resolución 10 (Anexo A),214,,AMOXICILINA + ÁCIDO CLAVULANICO,SÓLIDO ORAL,SOR-01,500 mg + 125 mg,-,$1.0100
Resolución 16-2017,39,669,AMOXICILINA + ÁCIDO CLAVULANICO,SÓLIDO PARENTERAL,SPA-04,1000 mg + 200 mg,-,$4.0500
Resolución 10 (Anexo A),220,,AMPICILINA,SÓLIDO PARENTERAL,SPA-04,1 g,-,$1.5100
Resolución 10 (Anexo A),221,,AMPICILINA,SÓLIDO PARENTERAL,SPA-04,500 mg,-,$1.3000
Resolución 10 (Anexo A),233,,AMPICILINA + SULBACTAM (SULTAMICILINA),SÓLIDO PARENTERAL,SPA-04,1000 mg + 500 mg,-,$8.5300
Resolución 10 (Anexo A),235,,AMPICILINA + SULBACTAM (SULTAMICILINA),SÓLIDO ORAL,SOR-01,375 mg,-,$1.3400
Resolución 10 (Anexo A),240,,AMPICILINA + SULBACTAM (SULTAMICILINA),SÓLIDO ORAL,SOR-01,750 mg,-,$2.7100
Resolución 10 (Anexo A),241,,ANASTROZOL,SÓLIDO ORAL,SOR-01,1 mg,-,$4.4400
Medicamentos nuevos Consolidados,131,666,ANFOTERICINA B ,LÍQUIDO PARENTERAL,COMPLEJO LIPIDICO SOLUCIÓN INYECTABLE PARA INFUSIÓN INTRAVENOSA,5 mg/ml, -,$60.0000
Resolución 10 (Anexo A),243,,ANIDULAFUNGINA,SÓLIDO PARENTERAL,SPA-04,100 mg,-,$332.7900
STFP-003-756-2024,,756,ANTÍGENO DE VIRUS HEPATITIS A + ANTÍGENO DE SUPERFICIE DE VIRUS HEPATITIS B,LÍQUIDO PARENTERAL,LPA-02,(720 U ELISA + 20 mcg)/ml,JERINGA PRECARGADA,$21.6300
STFP-005-702-2021,,702,APALUTAMIDA,SÓLIDO ORAL,SOR-01,60 mg,-,$45.5000
Resolución 10 (Anexo A),244,,APIXABAN,SÓLIDO ORAL,SOR-01,"2,5 mg",-,$2.3300
Resolución 10 (Anexo A),245,,APIXABAN,SÓLIDO ORAL,SOR-01,5 mg,-,$2.2800
STFP-006-720-2022,,720,APREMILAST,SÓLIDO ORAL,SOR-01,30 mg,-,$9.7651
STFP-007-720-2022,,720,APREMILAST,SÓLIDO ORAL,SOR-01,20 mg,-,$6.5100
STFP-008-720-2022,,720,APREMILAST,SÓLIDO ORAL,SOR-01,10 mg,-,$3.2550
Resolución 10 (Anexo A),246,,ARIPIPRAZOL,SÓLIDO ORAL,SOR-01,10 mg,-,$2.2600
Resolución 10 (Anexo A),247,,ARIPIPRAZOL,SÓLIDO ORAL,SOR-01,15 mg,-,$1.4400
Resolución 10 (Anexo A),248,,ARIPIPRAZOL,SÓLIDO ORAL,SOR-01,20 mg,-,$3.1000
STFP-06-715-2022,,715,ARIPIPRAZOL,SÓLIDO ORAL,SOR-01,5 mg,-,$0.6607
STFP-001-761-2025,,761,ARIPIPRAZOL,LÍQUIDO ORAL,LOR-01,1 mg/mL,-,$0.2996
Resolución 10 (Anexo A),249,,ARTEMETER + LUMEFANTRINA,SÓLIDO ORAL,SOR-01,20 mg + 120 mg,-,$0.2900
STFP-001-754-2024,,754,ASCIMINIB,SÓLIDO ORAL,SOR-01,40 mg,,$56.4195
Resolución 10 (Anexo A),250,,ASPARAGINASA,SÓLIDO PARENTERAL,POLVO PARA INYECCIÓN,10 000 UI,-,$77.1400
Resolución 10 (Anexo A),251,,ATAZANAVIR,SÓLIDO ORAL,SOR-01,150 mg,-,$5.0000
Resolución 10 (Anexo A),252,,ATAZANAVIR,SÓLIDO ORAL,SOR-01,200 mg,-,$6.5700
Resolución 10 (Anexo A),253,,ATENOLOL,SÓLIDO ORAL,SOR-01,50 mg,-,$0.2500
Resolución 10 (Anexo A),254,,ATENOLOL,SÓLIDO ORAL,SOR-01,100 mg,-,$0.4900
Resolución 10 (Anexo A),257,,ATENOLOL + CLORTALIDONA,SÓLIDO ORAL,SOR-01,100 mg + 25 mg,-,$0.5700
Resolución 10 (Anexo A),258,,ATENOLOL + CLORTALIDONA,SÓLIDO ORAL,SOR-01,"50 mg + 12,5 mg",-,$0.3000
STFP-009-708-2021,,708,ATEZOLIZUMAB,LÍQUIDO PARENTERAL,LPA-02,60 mg/ml,-,$222.4970
STFP-001-764-2025,,764,ATEZOLIZUMAB,LÍQUIDO PARENTERAL,LPA-02,125 mg/ml,-,$192.2610
Resolución 10 (Anexo A),261,,ATORVASTATINA,SÓLIDO ORAL,SOR-01,20 mg,-,$1.1200
Resolución 10 (Anexo A),262,,ATORVASTATINA,SÓLIDO ORAL,CÁPSULA BLANDA,20 mg,-,$1.5000
Resolución 10 (Anexo A),263,,ATORVASTATINA,SÓLIDO ORAL,SOR-01,40 mg,-,$1.8500
Resolución 10 (Anexo A),264,,ATORVASTATINA,SÓLIDO ORAL,CÁPSULA BLANDA,40 mg,-,$2.8600
Resolución 10 (Anexo A),268,,ATORVASTATINA,SÓLIDO ORAL,SOR-01,80 mg,-,$2.9000
Resolución 10 (Anexo A),260,,ATORVASTATINA,SÓLIDO ORAL,CÁPSULA BLANDA,10 mg,-,$0.8000
Resolución 10 (Anexo A),265,,ATORVASTATINA,SÓLIDO ORAL,SOR-01,10 mg,-,$0.7800
STFP-001-694-2021,,694,ATORVASTATINA + EZETIMIBA,SÓLIDO ORAL,SOR-01,40 mg + 10 mg,-,$2.8400
Resolución 10 (Anexo A),271,,ATROPINA,LÍQUIDO PARENTERAL,LPA-02,1mg/mL,-,$0.4800
Resolución 10 (Anexo A),272,,ATROPINA,LÍQUIDO OFTÁLMICO,LOF-01,0.50%,-,$0.1700
